"source";"target";"value"
0;1;19
0;2;8
0;3;8
0;4;5
0;5;5
0;6;5
0;7;4
0;8;5
0;9;4
0;10;4
0;11;3
0;12;3
0;13;4
0;14;1
0;15;1
0;16;1
0;17;1
0;18;1
0;19;1
0;20;2
0;21;1
0;22;1
0;23;1
0;24;2
0;25;1
0;26;11
0;27;3
0;28;1
0;29;1
0;30;1
0;31;1
0;32;1
0;33;1
0;34;1
0;35;1
0;36;1
0;37;1
0;38;1
0;39;1
0;40;1
0;41;1
0;42;1
0;43;1
0;44;2
0;45;1
0;46;2
0;47;1
0;48;1
0;49;1
0;50;1
0;51;2
0;52;3
0;53;3
0;54;1
0;55;3
0;56;1
0;57;1
0;58;1
0;59;1
0;60;1
0;61;1
0;62;1
0;63;2
0;64;6
0;65;1
0;66;1
0;67;1
0;68;1
0;69;1
0;70;1
0;71;1
0;73;1
0;74;1
0;75;1
0;76;1
0;77;1
0;78;1
0;79;1
0;80;1
0;81;1
0;82;1
0;83;1
0;84;1
0;85;1
0;86;1
0;87;1
0;88;1
0;89;1
0;90;1
0;91;1
0;92;1
0;93;1
0;94;1
0;95;1
0;96;1
0;97;1
0;98;1
0;99;1
0;100;1
0;101;1
0;102;1
1;2;10
1;3;12
1;4;6
1;5;6
1;6;5
1;9;7
1;10;2
1;11;18
1;12;22
1;13;10
1;15;1
1;16;4
1;17;5
1;18;1
1;19;1
1;20;10
1;21;1
1;22;1
1;23;1
1;24;2
1;25;1
1;28;14
1;29;20
1;40;14
1;41;1
1;44;6
1;49;1
1;50;1
2;3;12
2;4;4
2;5;4
2;6;4
2;9;1
2;11;1
2;15;1
2;16;1
2;17;1
2;18;1
2;19;1
2;20;1
2;40;2
2;44;2
2;50;1
3;4;5
3;5;5
3;6;4
3;9;1
3;11;2
3;15;1
3;16;3
3;17;2
3;18;1
3;19;1
3;44;10
3;50;1
4;5;26
4;6;4
4;9;1
4;11;2
4;13;1
4;25;2
5;6;4
5;9;1
5;11;2
5;13;1
5;25;2
6;9;1
6;11;1
6;21;1
6;22;1
7;8;94
7;10;24
7;72;7
8;10;10
8;11;6
8;14;12
8;29;2
8;30;2
8;32;1
8;72;8
8;95;2
9;12;2
9;13;1
9;20;5
9;40;2
10;41;3
10;72;3
11;20;95
11;28;1
11;29;50
12;13;1
12;15;1
12;16;1
12;23;1
12;24;1
12;25;1
12;29;1
13;16;3
13;17;4
13;20;1
13;24;1
13;40;3
13;44;3
13;49;1
14;36;1
14;59;1
15;16;28
15;17;9
15;18;13
15;19;4
15;45;8
15;46;1
15;50;1
16;17;13
16;18;1
16;19;1
16;44;2
16;45;3
16;50;1
17;18;1
17;19;2
17;40;1
17;44;2
17;45;1
17;50;1
18;19;1
18;50;1
19;50;5
20;40;7
20;44;1
20;49;1
21;22;1
23;24;1
23;25;5
24;25;1
24;44;1
26;27;3
26;30;1
26;31;8
26;32;1
26;33;1
26;34;1
26;35;5
26;36;8
26;37;2
26;38;1
26;39;4
26;48;2
26;51;2
26;52;2
26;53;3
26;55;2
26;56;2
26;57;1
26;63;1
26;64;31
26;65;1
26;66;1
26;67;1
26;68;1
26;69;1
26;70;8
26;74;15
26;76;1
26;77;3
26;78;1
26;79;1
26;80;1
26;81;1
26;82;2
26;83;1
26;84;1
26;85;1
26;86;1
26;87;2
26;88;1
26;89;1
26;90;1
26;91;1
26;92;1
26;93;1
26;94;1
26;95;1
26;96;2
26;97;1
26;98;1
26;99;1
26;100;1
26;101;1
26;102;1
27;51;1
27;52;1
27;53;1
27;55;1
27;56;1
27;57;1
27;63;1
27;64;3
27;65;1
27;74;1
28;29;12
30;31;1
30;32;2
30;33;80
30;34;1
30;35;1
30;36;1
30;37;1
30;38;1
30;39;1
30;66;1
30;70;2
30;77;1
30;79;1
30;86;11
30;95;1
30;96;1
31;32;1
31;33;1
31;34;1
31;35;4
31;36;6
31;37;2
31;38;1
31;39;3
31;70;8
31;77;3
32;33;1
32;34;1
32;35;1
32;36;1
32;37;1
32;38;1
32;39;1
32;70;1
32;77;1
33;34;1
33;35;1
33;36;1
33;37;1
33;38;1
33;39;1
33;70;1
33;77;1
34;35;1
34;36;1
34;37;1
34;38;1
34;39;1
34;70;1
34;77;1
35;36;4
35;37;2
35;38;1
35;39;1
35;70;5
35;77;3
36;37;2
36;38;1
36;39;2
36;56;1
36;70;10
36;77;3
37;38;1
37;39;1
37;70;2
37;77;2
38;39;1
38;70;1
38;77;1
39;56;2
39;65;25
39;70;6
39;77;1
40;44;1
40;49;1
41;42;9
41;43;1
41;59;2
42;43;1
42;59;8
42;60;2
42;61;6
43;59;1
45;46;2
45;54;16
45;71;3
46;54;1
46;71;1
47;69;1
47;73;4
48;51;1
48;89;1
